%time,field.name0,field.name1,field.pose0.position.x,field.pose0.position.y,field.pose0.position.z,field.pose0.orientation.x,field.pose0.orientation.y,field.pose0.orientation.z,field.pose0.orientation.w,field.pose1.position.x,field.pose1.position.y,field.pose1.position.z,field.pose1.orientation.x,field.pose1.orientation.y,field.pose1.orientation.z,field.pose1.orientation.w,field.twist0.linear.x,field.twist0.linear.y,field.twist0.linear.z,field.twist0.angular.x,field.twist0.angular.y,field.twist0.angular.z,field.twist1.linear.x,field.twist1.linear.y,field.twist1.linear.z,field.twist1.angular.x,field.twist1.angular.y,field.twist1.angular.z
26920000000,ocean_waves,wamv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.761743673531,9.04499152676,0.653983985604,-0.0202163168647,-0.0781733201744,0.685563654725,0.723521048668,0.0,0.0,0.0,0.0,0.0,0.0,0.361103345045,2.13073241965,4.36355418534,-0.320842368421,0.21602817841,-0.00617293919966
26921000000,ocean_waves,wamv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.762104611762,9.04712339826,0.658339681465,-0.02025587449,-0.0779849946272,0.68557608192,0.723528490151,0.0,0.0,0.0,0.0,0.0,0.0,0.36093632453,2.13186925981,4.35571462294,-0.317101927274,0.219942373624,-0.00601974561381
26922000000,ocean_waves,wamv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.762465403921,9.04925639707,0.662687351121,-0.0202927754247,-0.0777965558618,0.685588431261,0.723536040624,0.0,0.0,0.0,0.0,0.0,0.0,0.360790231178,2.13299660484,4.34768833703,-0.313396225724,0.223762778996,-0.00587206924876
26924000000,ocean_waves,wamv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.762826071594,9.05139051327,0.667026812617,-0.0203270661891,-0.0776080262709,0.685600701682,0.723543697707,0.0,0.0,0.0,0.0,0.0,0.0,0.360665723515,2.13411401101,4.33948010131,-0.309727052449,0.227486600122,-0.00573001539845
26924000000,ocean_waves,wamv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.763186637203,9.05352573639,0.671357889354,-0.0203587952661,-0.0774194287901,0.68561289209,0.723551458917,0.0,0.0,0.0,0.0,0.0,0.0,0.36056364025,2.13522095833,4.33109526937,-0.306096505055,0.231110341481,-0.00559372609071
26924000000,ocean_waves,wamv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.763547124467,9.05566205526,0.675680411396,-0.0203880139833,-0.077230787281,0.685625001344,0.723559321627,0.0,0.0,0.0,0.0,0.0,0.0,0.360485275282,2.13631674144,4.32254050709,-0.302507430227,0.234628736871,-0.00546343367475
26926000000,ocean_waves,wamv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.763907559297,9.05779945767,0.679994217983,-0.0204147782466,-0.0770421272957,0.685637028214,0.723567282976,0.0,0.0,0.0,0.0,0.0,0.0,0.360432822293,2.13740029393,4.31382498581,-0.298964132264,0.238033020469,-0.00533954694697
26927000000,ocean_waves,wamv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.764267967357,9.05993793126,0.684299151014,-0.0204391438633,-0.0768534739601,0.685648971502,0.723575340111,0.0,0.0,0.0,0.0,0.0,0.0,0.360406034707,2.13847150629,4.30495136749,-0.295467059589,0.241323946231,-0.0052219871483
26928000000,ocean_waves,wamv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.764628373848,9.06207746366,0.688595054566,-0.0204611661322,-0.0766648517758,0.685660830055,0.723583490214,0.0,0.0,0.0,0.0,0.0,0.0,0.360404448826,2.13953034881,4.29592182722,-0.292016340065,0.244503119482,-0.00511063244494
26929000000,ocean_waves,wamv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.764988803493,9.06421804249,0.692881774936,-0.020480899822,-0.0764762845957,0.685672602774,0.723591730496,0.0,0.0,0.0,0.0,0.0,0.0,0.360427585892,2.14057679166,4.28673858818,-0.288612103581,0.247572211938,-0.00500535735673
26930000000,ocean_waves,wamv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.765349280516,9.0663596553,0.697159160695,-0.020498399144,-0.0762877955958,0.685684288608,0.723600058204,0.0,0.0,0.0,0.0,0.0,0.0,0.360474949543,2.14161080509,4.27740391979,-0.285254481386,0.250532973593,-0.00490603175756
